archiveID,pageNum,numPage,vName,vSciName,conf,sciName,date,locality,country,stateProvince,island,idQualifier,county,occStatus,habitat,assCollTaxa,assColl,locationRemarks,vTaxonRank,vElevM,vLat,vLon,vUTM,vCoordUncM,numPlantsCode,orgQuantity,orgQtype,occRemarks,phenology,recordedBy,idBy,dataEntryRemarks,index
8,5,14,Lythrum thyrsiflora,Lythrum thyrsiflora,h,Lysimachia thyrsiflora,19961030,Saltspring Island; north end of Cusheon Lake,Canada,British Columbia,Saltspring Island,NA,Southern Gulf Islands,present,edge of lake,NA,NA,NA,species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harvey Janszen,NA,NA,71
8,5,15,Salix l,Salix,h,Salix,19961030,Saltspring Island; north end of Cusheon Lake,Canada,British Columbia,Saltspring Island,NA,Southern Gulf Islands,present,shore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harvey Janszen,NA,uncertain of the specific epiphet,72
8,5,16,Salix scouler,Salix scouleriana,h,Salix scouleriana,19961030,Saltspring Island; north end of Cusheon Lake,Canada,British Columbia,Saltspring Island,NA,Southern Gulf Islands,present,shore,NA,NA,NA,species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harvey Janszen,NA,NA,73
8,5,17,Cornus stolonifera,Cornus sericea,h,Cornus sericea,19961030,Saltspring Island; north end of Cusheon Lake,Canada,British Columbia,Saltspring Island,NA,Southern Gulf Islands,present,shore,NA,NA,NA,species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harvey Janszen,NA,NA,74
8,5,18,Spiraea d,Spiraea douglasii,h,Spiraea douglasii,19961030,Saltspring Island; north end of Cusheon Lake,Canada,British Columbia,Saltspring Island,NA,Southern Gulf Islands,present,shore,NA,NA,NA,species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harvey Janszen,NA,NA,75
8,6,1,Typha l,Typha latifolia,m,Typha latifolia,19961030,Saltspring Islandl; Bullocks Pond,Canada,British Columbia,Saltspring Island,NA,Southern Gulf Islands,present,shore,NA,NA,NA,species,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,Harvey Janszen,NA,uncertain of specific epiphet,76
8,6,2,Spiraea d,Spiraea douglasii,h,Spiraea douglasii,19961030,Saltspring Islandl; Bullocks Pond,Canada,British Columbia,Saltspring Island,NA,Southern Gulf Islands,present,shore,NA,NA,NA,species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harvey Janszen,NA,NA,77
8,6,3,Salix sarale,Salix scouleriana,l,Salix scouleriana,19961030,Saltspring Islandl; Bullocks Pond,Canada,British Columbia,Saltspring Island,NA,Southern Gulf Islands,present,"shore, behind Potentilla palustris (Comarum palustre)",NA,NA,NA,species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harvey Janszen,NA,uncertain of specific epiphet,78
8,6,4,Potentilla p,Potentilla palustris,h,Comarum palustre,19961030,Saltspring Islandl; Bullocks Pond,Canada,British Columbia,Saltspring Island,NA,Southern Gulf Islands,present,shore,NA,NA,NA,species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harvey Janszen,NA,NA,79
8,6,5,Lemna minor,Lemna minor,h,Lemna minor,19961030,Saltspring Islandl; Bullocks Pond,Canada,British Columbia,Saltspring Island,NA,Southern Gulf Islands,present,shore,NA,NA,NA,species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harvey Janszen,NA,NA,80
